user_id;location_id
554;26
555;11
556;25
557;20
558;14
559;28
560;39
561;18
562;41
563;10
564;12
565;15
566;10
567;39
568;40
569;32
570;26
571;6
572;1
573;6
574;11
575;17
576;17
577;3
578;33
579;33
580;20
581;24
582;21
583;2
584;18
585;23
586;25
587;31
588;28
589;26
590;14
591;23
592;14
593;8
594;26
595;30
596;15
597;5
598;16
599;27
600;23
601;11
602;28
603;14
604;31
605;23
606;21
607;32
608;6
609;43
610;36
611;22
612;6
613;21
614;15
615;18
616;24
617;8
618;39
619;13
620;38
621;16
622;5
623;15
624;19
625;36
626;43
627;3
628;22
629;19
630;12
631;5
632;1
633;45
634;4
635;34
636;39
637;10
638;44
639;26
640;14
641;3
642;37
643;15
644;5
645;36
646;10
647;34
648;5
649;44
650;26
651;11
652;40
653;2
654;2
655;3
656;6
657;42
658;3
659;19
660;23
661;40
662;21
663;3
664;17
665;18
666;33
667;15
668;15
669;15
670;13
671;28
672;6
673;33
674;3
675;38
676;20
677;19
678;33
679;8
680;29
681;30
682;18
683;19
684;25
685;25
686;20
687;1
688;3
689;20
690;22
691;37
692;34
693;12
694;34
695;22
696;11
697;11
698;35
699;6
700;44
701;29
702;21
703;2
704;3
705;29
706;8
707;3
708;31
709;9
710;44
711;34
712;10
713;9
714;20
715;41
716;13
717;35
718;33
719;40
720;4
721;18
722;23
723;11
724;9
725;38
726;24
727;42
728;15
729;1
730;29
731;17
732;26
733;33
734;21
735;30
736;37
737;45
738;41
739;38
740;11
741;45
742;19
743;39
744;20
745;27
746;42
747;27
748;6
749;3
750;29
751;10
752;4
753;36
754;24
755;44
756;8
757;19
758;17
759;4
760;20
761;25
762;16
763;5
764;32
765;26
766;35
767;27
768;31
769;29
770;3
771;42
772;45
773;35
774;43
775;24
776;41
777;31
778;36
779;31
780;17
781;38
782;14
783;32
784;9
785;13
786;23
787;43
788;2
789;34
790;13
791;32
792;45
793;5
794;10
795;26
796;16
797;17
798;16
799;2
800;10
801;2
802;4
803;24
804;27
805;14
806;44
807;39
808;35
809;17
810;12
811;40
812;35
813;24
814;30
815;42
816;44
817;20
818;38
819;39
820;27
821;29
822;44
823;30
824;10
825;28
826;12
827;10
828;7
829;36
830;3
831;13
832;38
833;22
834;17
835;36
836;45
837;3
838;5
839;20
840;27
841;7
842;35
843;6
844;43
845;42
846;25
847;5
848;17
849;2
850;32
851;16
852;35
853;1
854;33
855;20
856;37
857;14
858;35
859;2
860;34
861;3
862;14
863;21
864;24
865;24
866;19
867;22
868;26
869;13
870;20
871;3
872;12
873;27
874;22
875;33
876;26
877;4
878;8
879;10
880;15
881;17
882;36
883;19
884;10
885;13
886;35
887;10
888;25
889;39
890;17
891;6
892;25
893;28
894;13
895;5
896;26
897;45
898;32
899;33
900;3
901;21
902;29
903;31
904;10
905;41
906;8
907;19
908;3
909;5
910;25
911;12
912;32
913;43
914;38
915;22
916;19
917;37
918;14
919;35
920;15
921;37
922;42
923;15
924;31
925;32
926;18
927;10
928;39
929;34
930;27
931;33
932;9
933;5
934;22
935;20
936;45
937;20
938;27
939;21
940;2
941;43
942;30
943;22
944;40
945;19
946;24
947;19
948;11
949;31
950;11
951;45
952;42
953;41
954;10
955;31
956;33
957;41
958;38
959;41
960;29
961;41
962;15
963;38
964;31
965;29
966;12
967;9
968;12
969;19
970;25
971;14
972;38
973;12
974;31
975;27
976;35
977;43
978;20
979;22
980;35
981;32
982;23
983;32
984;25
985;2
986;11
987;21
988;22
989;27
990;5
991;37
992;35
993;31
994;4
995;6
996;18
997;11
998;36
999;33
1000;18
