user_id;skill_id
421;14
422;14
423;3
424;15
425;3
426;5
427;9
428;12
429;5
430;7
431;3
432;2
433;8
434;5
435;14
436;12
437;6
438;11
439;6
440;7
441;13
442;13
443;10
444;7
445;4
446;8
447;3
448;14
449;12
450;4
451;2
452;8
453;2
454;15
455;9
456;9
457;15
458;6
459;15
460;13
461;13
462;12
463;6
464;11
465;6
466;9
467;11
468;8
469;11
470;13
471;2
472;15
473;7
474;5
475;3
476;4
477;15
478;15
479;7
480;2
481;8
482;15
483;13
484;15
485;7
486;4
487;4
488;13
489;9
490;3
491;4
492;2
493;7
494;3
495;8
496;14
497;13
498;14
499;11
500;11
501;4
502;6
503;10
504;5
505;3
506;10
507;11
508;8
509;4
510;15
511;5
512;14
513;7
514;10
515;7
516;4
517;14
518;9
519;11
520;8
521;9
522;10
523;15
524;14
525;3
526;14
527;4
528;8
529;14
530;12
531;7
532;8
533;12
534;10
535;12
536;9
537;8
538;12
539;4
540;12
541;2
542;9
543;9
544;5
545;1
546;11
547;12
548;11
549;13
550;3
551;12
552;12
553;1
554;4
555;12
556;6
557;4
558;6
559;11
560;5
561;1
562;4
563;15
564;2
565;2
566;1
567;6
568;6
569;11
570;14
571;9
572;10
573;7
574;13
575;7
576;15
577;12
578;2
579;1
580;9
581;7
582;2
583;4
584;5
585;1
586;1
587;3
588;5
589;10
590;5
591;10
592;1
593;8
594;4
595;5
596;7
597;7
598;4
599;15
600;7
601;6
602;15
603;3
604;12
605;8
606;10
607;3
608;6
609;14
610;12
611;8
612;9
613;15
614;15
615;11
616;14
617;3
618;5
619;15
620;7
621;3
622;9
623;1
624;8
625;14
626;13
627;4
628;8
629;15
630;15
631;12
632;7
633;9
634;3
635;3
636;14
637;10
638;2
639;13
640;3
641;13
642;9
643;13
644;4
645;10
646;5
647;1
648;1
649;12
650;10
651;15
652;12
653;15
654;11
655;10
656;14
657;14
658;15
659;4
660;15
661;14
662;14
663;10
664;11
665;14
666;2
667;3
668;4
669;1
670;9
671;1
672;3
673;8
674;5
675;11
676;3
677;13
678;13
679;4
680;10
681;9
682;5
683;13
684;3
685;1
686;8
687;3
688;6
689;8
690;3
691;6
692;9
693;9
694;12
695;14
696;10
697;7
698;15
699;13
700;6
701;3
702;2
703;3
704;1
705;15
706;3
707;3
708;3
709;11
710;11
711;5
712;13
713;13
714;2
715;15
716;2
717;14
718;15
719;10
720;11
721;15
722;11
723;10
724;8
725;14
726;11
727;3
728;7
729;8
730;11
731;13
732;12
733;14
734;4
735;11
736;6
737;6
738;2
739;12
740;8
741;9
742;2
743;6
744;6
745;6
746;2
747;13
748;6
749;1
750;11
751;15
752;7
753;7
754;15
755;2
756;7
757;11
758;1
759;13
760;15
761;14
762;9
763;10
764;13
765;11
766;13
767;13
768;11
769;12
770;5
771;12
772;15
773;2
774;15
775;14
776;2
777;15
778;5
779;10
780;13
781;13
782;7
783;3
784;10
785;5
786;15
787;3
788;5
789;5
790;13
791;5
792;8
793;7
794;10
795;14
796;12
797;8
798;5
799;3
800;4
801;13
802;15
803;7
804;5
805;14
806;11
807;9
808;6
809;15
810;8
811;13
812;1
813;4
814;6
815;14
816;9
817;9
818;3
819;2
820;9
821;15
822;14
823;8
824;13
825;3
826;11
827;8
828;10
829;3
830;6
831;7
832;4
833;12
834;4
835;7
836;2
837;10
838;3
839;14
840;11
841;15
842;1
843;11
844;4
845;10
846;6
847;5
848;13
849;11
850;15
851;9
852;6
853;13
854;15
855;13
856;1
857;9
858;12
859;14
860;4
861;9
862;2
863;12
864;7
865;5
866;13
867;8
868;13
869;6
870;10
871;7
872;1
873;12
874;8
875;9
876;12
877;11
878;7
879;1
880;8
881;3
882;12
883;1
884;8
885;2
886;2
887;5
888;8
889;15
890;12
891;12
892;10
893;12
894;5
895;14
896;4
897;1
898;3
899;3
900;3
901;2
902;14
903;9
904;14
905;3
906;5
907;12
908;4
909;3
910;10
911;6
912;1
913;15
914;15
915;14
916;2
917;1
918;9
919;11
920;2
921;13
922;11
923;7
924;14
925;1
926;13
927;8
928;3
929;11
930;8
931;8
932;11
933;8
934;2
935;15
936;12
937;1
938;8
939;9
940;2
941;13
942;7
943;8
944;9
945;8
946;4
947;3
948;5
949;8
950;15
951;13
952;3
953;11
954;1
955;13
956;5
957;7
958;14
959;10
960;12
961;4
962;4
963;4
964;9
965;3
966;2
967;15
968;1
969;6
970;13
971;2
972;9
973;6
974;2
975;13
976;12
977;3
978;12
979;2
980;1
981;7
982;10
983;2
984;14
985;14
986;4
987;9
988;2
989;15
990;11
991;5
992;13
993;6
994;14
995;13
996;6
997;2
998;12
999;7
1000;4
